job_id,source,job_title,company,location,description,skills,careers_required,date_posted,url,career_tag,soft_skills_detected,extraction_date,description_final
456c71e59fd92aff2d37e7a9eeac09f0,jooble,Practicante en Administracion de empresas,KEUKENEXPO,"Medellín, Antioquia, Colombia",,,[],7/9/2025 7:14,https://co.linkedin.com/jobs/view/practicante-en-administracion-de-empresas-at-keukenexpo-4264575617,Administración de Empresas,[],7/9/2025,
c15a59da2845a491fbc7fd93c294db34,jooble,Practicante en Administracion de empresas,KEUKENEXPO,"Bogotá, Bogotá, Colombia",,,[],7/8/2025 19:14,https://co.linkedin.com/jobs/view/practicante-en-administracion-de-empresas-at-keukenexpo-4264227869,Administración de Empresas,[],7/9/2025,
2b90c3b8f447aef658fc8f6ea24debef,jooble,Practicante de administracion de empresas/ ing industrial,JM Web Tech,"Bogotá, Bogotá, Colombia",,,[],7/8/2025 7:13,https://co.linkedin.com/jobs/view/practicante-de-administracion-de-empresas-ing-industrial-at-jm-web-tech-4263972467,Administración de Empresas,[],7/9/2025,
a5ea1c1b4469aadcecff29d47ad5e52f,jooble,ADMINISTRADOR PUNTO DE VENTA REGIONAL,HICASA SAS,"Bucaramanga, Santander, Colombia",,"['Customer Service', 'Sales', 'Cash Management', 'Documentation', 'Team Supervision']",[],7/9/2025 13:57,https://co.linkedin.com/jobs/view/administrador-punto-de-venta-regional-at-hicasa-sas-4264744192,Administración de Empresas,[],7/9/2025,
5cda946ffea35ef898cc721008acf661,jooble,"Administrador de sistemas (WAF, CDN y seguridad web)",idealista,,,,[],7/9/2025 13:53,https://es.linkedin.com/jobs/view/administrador-de-sistemas-waf-cdn-y-seguridad-web-at-idealista-4263379239,Administración de Empresas,[],7/9/2025,
bf73be605b3ef52ec1927c9043257170,jooble,Administrador Remedy ITSM / Helix,Ayesa,,,"['Remedy ITSM', 'BMC Helix', 'SQL Server', 'Kubernetes', 'System Integration', 'English']",[],7/9/2025 13:52,https://es.linkedin.com/jobs/view/administrador-remedy-itsm-helix-at-ayesa-4260372606,Administración de Empresas,[],7/9/2025,
4510d30cdeb87302590bc4dc9b7c0fba,jooble,Administrador de sistemas,DQS,"Madrid, Madrid, Spain",,"['Microsoft 365', 'Trend Micro', 'Acronis', 'Windows Server', 'Firewall', 'Azure', 'PowerShell', 'Bash']",[],7/9/2025 13:32,https://es.linkedin.com/jobs/view/administrador-de-sistemas-at-dqs-4261137976,Administración de Empresas,[],7/9/2025,
3b7e3061ddf1f13d146659fc9d4dcb22,jooble,Administrador de Empresas,Astrotur,"Brasil Novo, Pará, Brazil",,,[],7/9/2025 13:06,https://br.linkedin.com/jobs/view/administrador-de-empresas-at-astrotur-4249106550,Administración de Empresas,[],7/9/2025,
b8b7cfe38358b57e7e33dda373ab7834,jooble,ADMINISTRADOR DE CONTRATO FAENA MINERA,Evaluar.com,"Antofagasta, Antofagasta, Chile",,,[],7/9/2025 13:02,https://cl.linkedin.com/jobs/view/administrador-de-contrato-faena-minera-at-evaluar-com-4264731264,Administración de Empresas,[],7/9/2025,
208919b0e43e700b987e11046ff57975,jooble,Administrador de Sistemas (experiencia CyberArk) - 100% teletrabajo,Sandav,,,,[],7/9/2025 11:56,https://es.linkedin.com/jobs/view/administrador-de-sistemas-experiencia-cyberark-100%25-teletrabajo-at-sandav-4264585139,Administración de Empresas,[],7/9/2025,
